,year,number_of_articles,percentage_women,jensen_shannon_men_women,entropy_of_topic_distribution,kullback_leibler_men_women,kullback_leibler_women_men
0,1953,337,0.08902077151335312,0.3030311721571471,3.8164979203078326,0.5149076613138476,0.38691213873152486
1,1954,345,0.1072463768115942,0.29656263634457547,3.8452118155202073,0.4290977437922788,0.38177998171787975
2,1955,347,0.1037463976945245,0.28437038534034587,3.851243946915043,0.4115284937310153,0.3400271548210234
3,1956,364,0.10164835164835165,0.31265747706044544,3.886335867332351,0.52054500041082,0.4087779663635553
4,1957,385,0.10649350649350649,0.30532278241248273,3.940989684875802,0.4651025744069268,0.3985521716014105
5,1958,411,0.09245742092457421,0.29839765412857117,3.9962601471620154,0.4511573206987788,0.3759076594509176
6,1959,451,0.09312638580931264,0.2832808586360334,4.023614105738959,0.4350899308669084,0.31421952470380526
7,1960,490,0.08979591836734693,0.26637434486658373,4.049195102985541,0.3685412318832068,0.27662995835533477
8,1961,521,0.08445297504798464,0.2572295097966371,4.0132076770028275,0.37078203946001337,0.24794331446981002
9,1962,535,0.0691588785046729,0.24801883149683207,4.002673762874903,0.3413227847521914,0.24478211209125386
10,1963,541,0.06839186691312385,0.23742423785622147,3.988057767869807,0.2990073199093356,0.23343372634976423
11,1964,535,0.059813084112149535,0.28065034022384433,3.986167483996231,0.4080126522005165,0.3325076900027417
12,1965,542,0.06088560885608856,0.2710153520054336,3.978214656579113,0.37909027683806656,0.30179378755231445
13,1966,561,0.06951871657754011,0.2740561241938362,4.0292824385676465,0.41347632898512965,0.3082634346924575
14,1967,597,0.07035175879396985,0.27111321747219397,4.045452279624796,0.4232034975422906,0.3035364406988397
15,1968,616,0.07792207792207792,0.25928266872780664,4.054744739048984,0.3762387734778606,0.27823355012268464
16,1969,672,0.08333333333333333,0.24112040517259653,4.081753474701699,0.3241740329577316,0.23586516563512638
17,1970,706,0.09206798866855524,0.2348660365787992,4.106508821895328,0.2820267590872162,0.2225689191281226
18,1971,711,0.09563994374120956,0.24796475146825342,4.111789459850519,0.3155279159128755,0.249303938537738
19,1972,716,0.11452513966480447,0.24123232999284092,4.118612155389351,0.26098908563432305,0.2503831339081641
20,1973,743,0.12113055181695828,0.24532912241398863,4.117915392465085,0.25754706471151256,0.2694924224782814
21,1974,753,0.13545816733067728,0.21678641243071217,4.103725539291088,0.19253438337015685,0.21726628407998338
22,1975,787,0.1397712833545108,0.2114412880407443,4.090452174052939,0.18506201352552482,0.20226429501948837
23,1976,829,0.15319662243667068,0.21033698214161833,4.079646509803199,0.1909057639858244,0.19730976618908538
24,1977,871,0.14351320321469574,0.21110234031073186,4.083928578462662,0.1868555657209164,0.19305034830055803
25,1978,894,0.14429530201342283,0.22521419433419407,4.093560440853894,0.2227007466358012,0.21387582637765673
26,1979,899,0.14238042269187987,0.24373756372506827,4.11656718088896,0.2809169030235951,0.24550769722679647
27,1980,895,0.15865921787709497,0.24911899912483376,4.132001135258221,0.2874490154887501,0.26791641997386106
28,1981,902,0.16186252771618626,0.24871512756365177,4.12409590016413,0.2887442720757118,0.26632583443612357
29,1982,874,0.18764302059496568,0.2303971830477086,4.137293299489996,0.2347419640618863,0.24155283588601223
30,1983,846,0.1950354609929078,0.22543073485108395,4.140815332414782,0.2190394976018122,0.23144228858510885
31,1984,873,0.2073310423825888,0.2219729189422084,4.14524764155942,0.20428359278042715,0.231248492343931
32,1985,873,0.20618556701030927,0.2169715515806115,4.149259593464517,0.19311931407553523,0.22482004948311615
33,1986,895,0.2111731843575419,0.21972399091642247,4.175847923546931,0.19721295691759763,0.2336679411421104
34,1987,915,0.20546448087431693,0.22500730255435109,4.175217551818312,0.2044354590345088,0.24166155768835257
35,1988,969,0.21465428276573786,0.24114893185350686,4.181869993379023,0.23675446437148387,0.276933543832208
36,1989,975,0.2246153846153846,0.22598039398247544,4.197330737437341,0.2079452485709188,0.24074189468250676
37,1990,1012,0.2381422924901186,0.2225654587605675,4.207203643261341,0.19977915587240794,0.233949090809321
38,1991,1014,0.257396449704142,0.21034406136928746,4.222065875449949,0.174347995027761,0.20825769970782196
39,1992,1036,0.27123552123552125,0.2043129483675135,4.222228392221601,0.16592176817924828,0.19681361852838172
40,1993,1067,0.2727272727272727,0.19240411497353413,4.2192408249842215,0.14608069884573277,0.1719287674841983
41,1994,1059,0.279508970727101,0.18886631231588444,4.236735584768853,0.14004298239416502,0.1636996464260781
42,1995,1032,0.28875968992248063,0.16262863576959805,4.240063152954463,0.10345086019925685,0.1184270237039566
43,1996,1026,0.2729044834307992,0.1707735028526949,4.223207519798038,0.1198063469625064,0.1282012252610958
44,1997,1051,0.2702188392007612,0.16863140932298568,4.2340640871843265,0.11663600160079589,0.12368823450631897
45,1998,986,0.29310344827586204,0.1697780793324466,4.246794346289439,0.11904257830682366,0.1228636856716141
46,1999,959,0.291970802919708,0.1705582970753975,4.225845718916915,0.11705164107430108,0.12467804854641767
47,2000,912,0.28728070175438597,0.1804731771625759,4.212549258935285,0.13259840166613016,0.13992913370663582
48,2001,859,0.28987194412107103,0.18521795909858305,4.2047249482591935,0.14235956963317026,0.14340225821340388
49,2002,765,0.2901960784313726,0.18582973686859797,4.185787766225594,0.144429300915814,0.14471878550715714
50,2003,738,0.2777777777777778,0.20401216065668623,4.176758401569304,0.1762857480080734,0.1753067543982643
51,2004,726,0.27548209366391185,0.19986006583588847,4.165981478930313,0.16810534167262922,0.1695569269624496
52,2005,783,0.2822477650063857,0.17849766135812117,4.173985018005638,0.13237812940320917,0.1347222693383049
53,2006,807,0.3097893432465923,0.18354572398082508,4.17682671144708,0.13357175768509363,0.14864242810168915
54,2007,869,0.3302646720368239,0.17049890280752694,4.171456465970157,0.11516252554823588,0.12662063739588292
55,2008,917,0.3456924754634678,0.15723411957372987,4.162546288534283,0.09626751690380325,0.11019505426864672
56,2009,956,0.35564853556485354,0.1619190885368378,4.155803256902208,0.10624352471020747,0.11151757065147899
57,2010,954,0.3721174004192872,0.1664246150194514,4.163664088239541,0.11415871317468372,0.11731377147213846
58,2011,825,0.37333333333333335,0.1655600610171599,4.153273258965946,0.11592941884051396,0.11393894848200661
