,journal_male,journal_female,journal_ratio,diss_male,diss_female,diss_ratio
1953,61.4,6.0,0.08902077151335311,,,
1954,61.6,7.4,0.10724637681159421,,,
1955,62.2,7.2,0.10374639769452448,,,
1956,65.4,7.4,0.10164835164835163,,,
1957,68.8,8.2,0.10649350649350649,,,
1958,74.6,7.6,0.09245742092457422,,,
1959,81.8,8.4,0.09312638580931264,,,
1960,89.2,8.8,0.08979591836734695,,,
1961,95.4,8.8,0.08445297504798464,,,
1962,99.6,7.4,0.0691588785046729,,,
1963,100.8,7.4,0.06839186691312385,,,
1964,100.6,6.4,0.059813084112149535,,,
1965,101.8,6.6,0.06088560885608856,,,
1966,104.4,7.8,0.06951871657754011,,,
1967,111.0,8.4,0.07035175879396985,,,
1968,113.6,9.6,0.07792207792207792,,,
1969,123.2,11.2,0.08333333333333333,,,
1970,128.2,13.0,0.09206798866855524,,,
1971,128.6,13.6,0.09563994374120957,,,
1972,126.8,16.4,0.11452513966480447,,,
1973,130.6,18.0,0.12113055181695828,,,
1974,130.2,20.4,0.13545816733067728,,,
1975,135.4,22.0,0.1397712833545108,,,
1976,140.4,25.4,0.15319662243667068,,,
1977,149.2,25.0,0.14351320321469577,,,
1978,153.0,25.8,0.1442953020134228,,,
1979,154.2,25.6,0.1423804226918799,,,
1980,150.6,28.4,0.15865921787709497,,,
1981,151.2,29.2,0.16186252771618628,,,
1982,142.0,32.8,0.18764302059496565,412.8,190.2,0.31542288557213927
1983,136.2,33.0,0.1950354609929078,390.6,185.4,0.321875
1984,138.4,36.2,0.20733104238258876,368.8,184.8,0.3338150289017341
1985,138.6,36.0,0.2061855670103093,358.8,185.8,0.3411678295997062
1986,141.2,37.8,0.21117318435754187,347.2,185.8,0.34859287054409005
1987,145.4,37.6,0.20546448087431696,338.2,183.6,0.3518589497891913
1988,152.2,41.6,0.2146542827657379,336.2,183.8,0.3534615384615385
1989,151.2,43.8,0.2246153846153846,343.2,190.4,0.3568215892053973
1990,154.2,48.2,0.23814229249011862,341.6,200.8,0.37020648967551617
1991,150.6,52.2,0.257396449704142,350.8,213.0,0.3777935438098617
1992,151.0,56.2,0.27123552123552125,370.2,231.2,0.3844363152643831
1993,155.2,58.2,0.27272727272727276,405.8,261.4,0.3917865707434052
1994,152.6,59.2,0.279508970727101,420.0,285.6,0.40476190476190477
1995,146.8,59.6,0.28875968992248063,440.2,304.0,0.4084923407686106
1996,149.2,56.0,0.27290448343079926,452.6,317.6,0.4123604258634121
1997,153.4,56.8,0.2702188392007612,467.2,331.6,0.41512268402603913
1998,139.4,57.8,0.29310344827586204,464.6,334.0,0.4182319058352116
1999,135.8,56.0,0.291970802919708,467.6,336.4,0.41840796019900495
2000,130.0,52.4,0.28728070175438597,471.4,338.4,0.41788095826129906
2001,122.0,49.8,0.289871944121071,476.4,339.6,0.4161764705882353
2002,108.6,44.4,0.2901960784313725,465.4,344.6,0.42543209876543214
2003,106.6,41.0,0.2777777777777778,455.6,338.0,0.4259072580645161
2004,105.2,40.0,0.27548209366391185,454.8,328.4,0.4193054136874361
2005,112.4,44.2,0.28224776500638565,434.4,315.6,0.4208
2006,111.4,50.0,0.3097893432465923,412.2,307.8,0.4275
2007,116.4,57.4,0.3302646720368239,382.0,283.4,0.42590922753231136
2008,120.0,63.4,0.3456924754634678,337.6,262.6,0.43752082639120293
2009,123.2,68.0,0.3556485355648536,283.0,231.0,0.4494163424124514
2010,,,,227.2,191.8,0.4577565632458234
